applicationIdentifier	regex	formatString	description	label	note	fnc1Required
3533	^3533(\d{6})$	N4+N6	"Area, square inches"	"AREA (in<sup>2</sup>), log"	The fourth digit (3) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnn.nnn square inches	FALSE
3534	^3534(\d{6})$	N4+N6	"Area, square inches"	"AREA (in<sup>2</sup>), log"	The fourth digit (4) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nn.nnnn square inches	FALSE
3535	^3535(\d{6})$	N4+N6	"Area, square inches"	"AREA (in<sup>2</sup>), log"	The fourth digit (5) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = n.nnnnn square inches	FALSE
3540	^3540(\d{6})$	N4+N6	"Area, square feet"	"AREA (ft<sup>2</sup>), log"	The fourth digit (0) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnnn square feet	FALSE
3541	^3541(\d{6})$	N4+N6	"Area, square feet"	"AREA (ft<sup>2</sup>), log"	The fourth digit (1) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnn.n square feet	FALSE
3542	^3542(\d{6})$	N4+N6	"Area, square feet"	"AREA (ft<sup>2</sup>), log"	The fourth digit (2) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnn.nn square feet	FALSE
3543	^3543(\d{6})$	N4+N6	"Area, square feet"	"AREA (ft<sup>2</sup>), log"	The fourth digit (3) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnn.nnn square feet	FALSE
3544	^3544(\d{6})$	N4+N6	"Area, square feet"	"AREA (ft<sup>2</sup>), log"	The fourth digit (4) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nn.nnnn square feet	FALSE
3545	^3545(\d{6})$	N4+N6	"Area, square feet"	"AREA (ft<sup>2</sup>), log"	The fourth digit (5) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = n.nnnnn square feet	FALSE
3550	^3550(\d{6})$	N4+N6	"Area, square yards"	"AREA (yd<sup>2</sup>), log"	The fourth digit (0) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnnn square yards	FALSE
3551	^3551(\d{6})$	N4+N6	"Area, square yards"	"AREA (yd<sup>2</sup>), log"	The fourth digit (1) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnn.n square yards	FALSE
3552	^3552(\d{6})$	N4+N6	"Area, square yards"	"AREA (yd<sup>2</sup>), log"	The fourth digit (2) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnn.nn square yards	FALSE
3553	^3553(\d{6})$	N4+N6	"Area, square yards"	"AREA (yd<sup>2</sup>), log"	The fourth digit (3) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnn.nnn square yards	FALSE
3554	^3554(\d{6})$	N4+N6	"Area, square yards"	"AREA (yd<sup>2</sup>), log"	The fourth digit (4) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nn.nnnn square yards	FALSE
3555	^3555(\d{6})$	N4+N6	"Area, square yards"	"AREA (yd<sup>2</sup>), log"	The fourth digit (5) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = n.nnnnn square yards	FALSE
3560	^3560(\d{6})$	N4+N6	"Net weight, troy ounces (variable measure trade item)"	NET WEIGHT (t oz)	The fourth digit (0) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnnn troy ounces	FALSE
3561	^3561(\d{6})$	N4+N6	"Net weight, troy ounces (variable measure trade item)"	NET WEIGHT (t oz)	The fourth digit (1) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnn.n troy ounces	FALSE
3562	^3562(\d{6})$	N4+N6	"Net weight, troy ounces (variable measure trade item)"	NET WEIGHT (t oz)	The fourth digit (2) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnn.nn troy ounces	FALSE
3563	^3563(\d{6})$	N4+N6	"Net weight, troy ounces (variable measure trade item)"	NET WEIGHT (t oz)	The fourth digit (3) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnn.nnn troy ounces	FALSE
3564	^3564(\d{6})$	N4+N6	"Net weight, troy ounces (variable measure trade item)"	NET WEIGHT (t oz)	The fourth digit (4) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nn.nnnn troy ounces	FALSE
3565	^3565(\d{6})$	N4+N6	"Net weight, troy ounces (variable measure trade item)"	NET WEIGHT (t oz)	The fourth digit (5) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = n.nnnnn troy ounces	FALSE
3570	^3570(\d{6})$	N4+N6	"Net weight (or volume), ounces (variable measure trade item)"	NET VOLUME (oz)	The fourth digit (0) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnnn ounces	FALSE
3571	^3571(\d{6})$	N4+N6	"Net weight (or volume), ounces (variable measure trade item)"	NET VOLUME (oz)	The fourth digit (1) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnn.n ounces	FALSE
3572	^3572(\d{6})$	N4+N6	"Net weight (or volume), ounces (variable measure trade item)"	NET VOLUME (oz)	The fourth digit (2) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnn.nn ounces	FALSE
3573	^3573(\d{6})$	N4+N6	"Net weight (or volume), ounces (variable measure trade item)"	NET VOLUME (oz)	The fourth digit (3) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnn.nnn ounces	FALSE
3574	^3574(\d{6})$	N4+N6	"Net weight (or volume), ounces (variable measure trade item)"	NET VOLUME (oz)	The fourth digit (4) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nn.nnnn ounces	FALSE
3575	^3575(\d{6})$	N4+N6	"Net weight (or volume), ounces (variable measure trade item)"	NET VOLUME (oz)	The fourth digit (5) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = n.nnnnn ounces	FALSE
3600	^3600(\d{6})$	N4+N6	"Net volume, quarts (variable measure trade item)"	NET VOLUME (qt)	The fourth digit (0) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnnn quarts	FALSE
3601	^3601(\d{6})$	N4+N6	"Net volume, quarts (variable measure trade item)"	NET VOLUME (qt)	The fourth digit (1) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnn.n quarts	FALSE
3602	^3602(\d{6})$	N4+N6	"Net volume, quarts (variable measure trade item)"	NET VOLUME (qt)	The fourth digit (2) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnn.nn quarts	FALSE
3603	^3603(\d{6})$	N4+N6	"Net volume, quarts (variable measure trade item)"	NET VOLUME (qt)	The fourth digit (3) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnn.nnn quarts	FALSE
3604	^3604(\d{6})$	N4+N6	"Net volume, quarts (variable measure trade item)"	NET VOLUME (qt)	The fourth digit (4) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nn.nnnn quarts	FALSE
3605	^3605(\d{6})$	N4+N6	"Net volume, quarts (variable measure trade item)"	NET VOLUME (qt)	The fourth digit (5) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = n.nnnnn quarts	FALSE
3610	^3610(\d{6})$	N4+N6	"Net volume, gallons U.S. (variable measure trade item)"	NET VOLUME (gal.)	The fourth digit (0) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnnn US gallons	FALSE
3611	^3611(\d{6})$	N4+N6	"Net volume, gallons U.S. (variable measure trade item)"	NET VOLUME (gal.)	The fourth digit (1) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnn.n US gallons	FALSE
3612	^3612(\d{6})$	N4+N6	"Net volume, gallons U.S. (variable measure trade item)"	NET VOLUME (gal.)	The fourth digit (2) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnn.nn US gallons	FALSE
3613	^3613(\d{6})$	N4+N6	"Net volume, gallons U.S. (variable measure trade item)"	NET VOLUME (gal.)	The fourth digit (3) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnn.nnn US gallons	FALSE
3614	^3614(\d{6})$	N4+N6	"Net volume, gallons U.S. (variable measure trade item)"	NET VOLUME (gal.)	The fourth digit (4) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nn.nnnn US gallons	FALSE
3615	^3615(\d{6})$	N4+N6	"Net volume, gallons U.S. (variable measure trade item)"	NET VOLUME (gal.)	The fourth digit (5) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = n.nnnnn US gallons	FALSE
3620	^3620(\d{6})$	N4+N6	"Logistic volume, quarts"	"VOLUME (qt), log"	The fourth digit (0) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnnn quarts	FALSE
3621	^3621(\d{6})$	N4+N6	"Logistic volume, quarts"	"VOLUME (qt), log"	The fourth digit (1) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnn.n quarts	FALSE
3622	^3622(\d{6})$	N4+N6	"Logistic volume, quarts"	"VOLUME (qt), log"	The fourth digit (2) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnn.nn quarts	FALSE
3623	^3623(\d{6})$	N4+N6	"Logistic volume, quarts"	"VOLUME (qt), log"	The fourth digit (3) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnn.nnn quarts	FALSE
3624	^3624(\d{6})$	N4+N6	"Logistic volume, quarts"	"VOLUME (qt), log"	The fourth digit (4) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nn.nnnn quarts	FALSE
3625	^3625(\d{6})$	N4+N6	"Logistic volume, quarts"	"VOLUME (qt), log"	The fourth digit (5) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = n.nnnnn quarts	FALSE
3630	^3630(\d{6})$	N4+N6	"Logistic volume, gallons U.S."	"VOLUME (gal.), log"	The fourth digit (0) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnnn US gallons	FALSE
3631	^3631(\d{6})$	N4+N6	"Logistic volume, gallons U.S."	"VOLUME (gal.), log"	The fourth digit (1) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnn.n US gallons	FALSE
3632	^3632(\d{6})$	N4+N6	"Logistic volume, gallons U.S."	"VOLUME (gal.), log"	The fourth digit (2) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnn.nn US gallons	FALSE
3633	^3633(\d{6})$	N4+N6	"Logistic volume, gallons U.S."	"VOLUME (gal.), log"	The fourth digit (3) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnn.nnn US gallons	FALSE
3634	^3634(\d{6})$	N4+N6	"Logistic volume, gallons U.S."	"VOLUME (gal.), log"	The fourth digit (4) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nn.nnnn US gallons	FALSE
3635	^3635(\d{6})$	N4+N6	"Logistic volume, gallons U.S."	"VOLUME (gal.), log"	The fourth digit (5) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = n.nnnnn US gallons	FALSE
3640	^3640(\d{6})$	N4+N6	"Net volume, cubic inches (variable measure trade item)"	VOLUME (in<sup>3</sup>)	The fourth digit (0) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnnn cubic inches	FALSE
3641	^3641(\d{6})$	N4+N6	"Net volume, cubic inches (variable measure trade item)"	VOLUME (in<sup>3</sup>)	The fourth digit (1) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnn.n cubic inches	FALSE
3642	^3642(\d{6})$	N4+N6	"Net volume, cubic inches (variable measure trade item)"	VOLUME (in<sup>3</sup>)	The fourth digit (2) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnn.nn cubic inches	FALSE
3643	^3643(\d{6})$	N4+N6	"Net volume, cubic inches (variable measure trade item)"	VOLUME (in<sup>3</sup>)	The fourth digit (3) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnn.nnn cubic inches	FALSE
3644	^3644(\d{6})$	N4+N6	"Net volume, cubic inches (variable measure trade item)"	VOLUME (in<sup>3</sup>)	The fourth digit (4) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nn.nnnn cubic inches	FALSE
3645	^3645(\d{6})$	N4+N6	"Net volume, cubic inches (variable measure trade item)"	VOLUME (in<sup>3</sup>)	The fourth digit (5) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = n.nnnnn cubic inches	FALSE
3650	^3650(\d{6})$	N4+N6	"Net volume, cubic feet (variable measure trade item)"	VOLUME (ft<sup>3</sup>)	The fourth digit (0) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnnn cubic feet	FALSE
3651	^3651(\d{6})$	N4+N6	"Net volume, cubic feet (variable measure trade item)"	VOLUME (ft<sup>3</sup>)	The fourth digit (1) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnn.n cubic feet	FALSE
3652	^3652(\d{6})$	N4+N6	"Net volume, cubic feet (variable measure trade item)"	VOLUME (ft<sup>3</sup>)	The fourth digit (2) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnn.nn cubic feet	FALSE
3653	^3653(\d{6})$	N4+N6	"Net volume, cubic feet (variable measure trade item)"	VOLUME (ft<sup>3</sup>)	The fourth digit (3) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnn.nnn cubic feet	FALSE
3654	^3654(\d{6})$	N4+N6	"Net volume, cubic feet (variable measure trade item)"	VOLUME (ft<sup>3</sup>)	The fourth digit (4) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nn.nnnn cubic feet	FALSE
3655	^3655(\d{6})$	N4+N6	"Net volume, cubic feet (variable measure trade item)"	VOLUME (ft<sup>3</sup>)	The fourth digit (5) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = n.nnnnn cubic feet	FALSE
3660	^3660(\d{6})$	N4+N6	"Net volume, cubic yards (variable measure trade item)"	VOLUME (yd<sup>3</sup>)	The fourth digit (0) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnnn cubic yards	FALSE
3661	^3661(\d{6})$	N4+N6	"Net volume, cubic yards (variable measure trade item)"	VOLUME (yd<sup>3</sup>)	The fourth digit (1) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnn.n cubic yards	FALSE
3662	^3662(\d{6})$	N4+N6	"Net volume, cubic yards (variable measure trade item)"	VOLUME (yd<sup>3</sup>)	The fourth digit (2) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnn.nn cubic yards	FALSE
3663	^3663(\d{6})$	N4+N6	"Net volume, cubic yards (variable measure trade item)"	VOLUME (yd<sup>3</sup>)	The fourth digit (3) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnn.nnn cubic yards	FALSE
3664	^3664(\d{6})$	N4+N6	"Net volume, cubic yards (variable measure trade item)"	VOLUME (yd<sup>3</sup>)	The fourth digit (4) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nn.nnnn cubic yards	FALSE
3665	^3665(\d{6})$	N4+N6	"Net volume, cubic yards (variable measure trade item)"	VOLUME (yd<sup>3</sup>)	The fourth digit (5) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = n.nnnnn cubic yards	FALSE
3670	^3670(\d{6})$	N4+N6	"Logistic volume, cubic inches"	"VOLUME (in<sup>3</sup>), log"	The fourth digit (0) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnnn cubic inches	FALSE
3671	^3671(\d{6})$	N4+N6	"Logistic volume, cubic inches"	"VOLUME (in<sup>3</sup>), log"	The fourth digit (1) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnn.n cubic inches	FALSE
3672	^3672(\d{6})$	N4+N6	"Logistic volume, cubic inches"	"VOLUME (in<sup>3</sup>), log"	The fourth digit (2) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnn.nn cubic inches	FALSE
3673	^3673(\d{6})$	N4+N6	"Logistic volume, cubic inches"	"VOLUME (in<sup>3</sup>), log"	The fourth digit (3) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnn.nnn cubic inches	FALSE
3674	^3674(\d{6})$	N4+N6	"Logistic volume, cubic inches"	"VOLUME (in<sup>3</sup>), log"	The fourth digit (4) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nn.nnnn cubic inches	FALSE
3675	^3675(\d{6})$	N4+N6	"Logistic volume, cubic inches"	"VOLUME (in<sup>3</sup>), log"	The fourth digit (5) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = n.nnnnn cubic inches	FALSE
3680	^3680(\d{6})$	N4+N6	"Logistic volume, cubic feet"	"VOLUME (ft<sup>3</sup>), log"	The fourth digit (0) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnnn cubic feet	FALSE
3681	^3681(\d{6})$	N4+N6	"Logistic volume, cubic feet"	"VOLUME (ft<sup>3</sup>), log"	The fourth digit (1) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnn.n cubic feet	FALSE
3682	^3682(\d{6})$	N4+N6	"Logistic volume, cubic feet"	"VOLUME (ft<sup>3</sup>), log"	The fourth digit (2) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnn.nn cubic feet	FALSE
3683	^3683(\d{6})$	N4+N6	"Logistic volume, cubic feet"	"VOLUME (ft<sup>3</sup>), log"	The fourth digit (3) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnn.nnn cubic feet	FALSE
3684	^3684(\d{6})$	N4+N6	"Logistic volume, cubic feet"	"VOLUME (ft<sup>3</sup>), log"	The fourth digit (4) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nn.nnnn cubic feet	FALSE
3685	^3685(\d{6})$	N4+N6	"Logistic volume, cubic feet"	"VOLUME (ft<sup>3</sup>), log"	The fourth digit (5) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = n.nnnnn cubic feet	FALSE
3690	^3690(\d{6})$	N4+N6	"Logistic volume, cubic yards"	"VOLUME (yd<sup>3</sup>), log"	The fourth digit (0) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnnn cubic yards	FALSE
3691	^3691(\d{6})$	N4+N6	"Logistic volume, cubic yards"	"VOLUME (yd<sup>3</sup>), log"	The fourth digit (1) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnnn.n cubic yards	FALSE
3692	^3692(\d{6})$	N4+N6	"Logistic volume, cubic yards"	"VOLUME (yd<sup>3</sup>), log"	The fourth digit (2) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnnn.nn cubic yards	FALSE
3693	^3693(\d{6})$	N4+N6	"Logistic volume, cubic yards"	"VOLUME (yd<sup>3</sup>), log"	The fourth digit (3) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nnn.nnn cubic yards	FALSE
3694	^3694(\d{6})$	N4+N6	"Logistic volume, cubic yards"	"VOLUME (yd<sup>3</sup>), log"	The fourth digit (4) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = nn.nnnn cubic yards	FALSE
3695	^3695(\d{6})$	N4+N6	"Logistic volume, cubic yards"	"VOLUME (yd<sup>3</sup>), log"	The fourth digit (5) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N6 = n.nnnnn cubic yards	FALSE
37	"^37(\d{0,8})$"	N2+N..8	Count of trade items or trade item pieces contained in a logistic unit	COUNT		TRUE
3900	"^3900(\d{0,15})$"	N4+N..15	"Applicable amount payable or Coupon value, local currency"	AMOUNT	The fourth digit (0) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N..15 is a floating-point value with 0 decimal places in units of local currency	TRUE
3901	"^3901(\d{0,15})$"	N4+N..15	"Applicable amount payable or Coupon value, local currency"	AMOUNT	The fourth digit (1) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N..15 is a floating-point value with 1 decimal places in units of local currency	TRUE
3902	"^3902(\d{0,15})$"	N4+N..15	"Applicable amount payable or Coupon value, local currency"	AMOUNT	The fourth digit (2) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N..15 is a floating-point value with 2 decimal places in units of local currency	TRUE
3903	"^3903(\d{0,15})$"	N4+N..15	"Applicable amount payable or Coupon value, local currency"	AMOUNT	The fourth digit (3) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N..15 is a floating-point value with 3 decimal places in units of local currency	TRUE
3904	"^3904(\d{0,15})$"	N4+N..15	"Applicable amount payable or Coupon value, local currency"	AMOUNT	The fourth digit (4) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N..15 is a floating-point value with 4 decimal places in units of local currency	TRUE
3905	"^3905(\d{0,15})$"	N4+N..15	"Applicable amount payable or Coupon value, local currency"	AMOUNT	The fourth digit (5) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N..15 is a floating-point value with 5 decimal places in units of local currency	TRUE
3906	"^3906(\d{0,15})$"	N4+N..15	"Applicable amount payable or Coupon value, local currency"	AMOUNT	The fourth digit (6) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N..15 is a floating-point value with 6 decimal places in units of local currency	TRUE
3907	"^3907(\d{0,15})$"	N4+N..15	"Applicable amount payable or Coupon value, local currency"	AMOUNT	The fourth digit (7) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N..15 is a floating-point value with 7 decimal places in units of local currency	TRUE
3908	"^3908(\d{0,15})$"	N4+N..15	"Applicable amount payable or Coupon value, local currency"	AMOUNT	The fourth digit (8) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N..15 is a floating-point value with 8 decimal places in units of local currency	TRUE
3909	"^3909(\d{0,15})$"	N4+N..15	"Applicable amount payable or Coupon value, local currency"	AMOUNT	The fourth digit (9) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N..15 is a floating-point value with 9 decimal places in units of local currency	TRUE
3910	"^3910(\d{3})(\d{0,15})$"	N4+N3+N..15	Applicable amount payable with ISO currency code	AMOUNT	The fourth digit (0) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N..15 is a floating-point value with 0 decimal places in units of currency where N3 = ISO 4217 numeric currency code	TRUE
3911	"^3911(\d{3})(\d{0,15})$"	N4+N3+N..15	Applicable amount payable with ISO currency code	AMOUNT	The fourth digit (1) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N..15 is a floating-point value with 1 decimal places in units of currency where N3 = ISO 4217 numeric currency code	TRUE
3912	"^3912(\d{3})(\d{0,15})$"	N4+N3+N..15	Applicable amount payable with ISO currency code	AMOUNT	The fourth digit (2) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N..15 is a floating-point value with 2 decimal places in units of currency where N3 = ISO 4217 numeric currency code	TRUE
3913	"^3913(\d{3})(\d{0,15})$"	N4+N3+N..15	Applicable amount payable with ISO currency code	AMOUNT	The fourth digit (3) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N..15 is a floating-point value with 3 decimal places in units of currency where N3 = ISO 4217 numeric currency code	TRUE
3914	"^3914(\d{3})(\d{0,15})$"	N4+N3+N..15	Applicable amount payable with ISO currency code	AMOUNT	The fourth digit (4) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N..15 is a floating-point value with 4 decimal places in units of currency where N3 = ISO 4217 numeric currency code	TRUE
3915	"^3915(\d{3})(\d{0,15})$"	N4+N3+N..15	Applicable amount payable with ISO currency code	AMOUNT	The fourth digit (5) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N..15 is a floating-point value with 5 decimal places in units of currency where N3 = ISO 4217 numeric currency code	TRUE
3916	"^3916(\d{3})(\d{0,15})$"	N4+N3+N..15	Applicable amount payable with ISO currency code	AMOUNT	The fourth digit (6) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N..15 is a floating-point value with 6 decimal places in units of currency where N3 = ISO 4217 numeric currency code	TRUE
3917	"^3917(\d{3})(\d{0,15})$"	N4+N3+N..15	Applicable amount payable with ISO currency code	AMOUNT	The fourth digit (7) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N..15 is a floating-point value with 7 decimal places in units of currency where N3 = ISO 4217 numeric currency code	TRUE
3918	"^3918(\d{3})(\d{0,15})$"	N4+N3+N..15	Applicable amount payable with ISO currency code	AMOUNT	The fourth digit (8) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N..15 is a floating-point value with 8 decimal places in units of currency where N3 = ISO 4217 numeric currency code	TRUE
3919	"^3919(\d{3})(\d{0,15})$"	N4+N3+N..15	Applicable amount payable with ISO currency code	AMOUNT	The fourth digit (9) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N..15 is a floating-point value with 9 decimal places in units of currency where N3 = ISO 4217 numeric currency code	TRUE
3920	"^3920(\d{0,15})$"	N4+N..15	"Applicable amount payable, single monetary area (variable measure trade item)"	PRICE	The fourth digit (0) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N..15 is a floating-point value with 0 decimal places in units of currency within the single monetary area	TRUE
3921	"^3921(\d{0,15})$"	N4+N..15	"Applicable amount payable, single monetary area (variable measure trade item)"	PRICE	The fourth digit (1) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N..15 is a floating-point value with 1 decimal places in units of currency within the single monetary area	TRUE
3922	"^3922(\d{0,15})$"	N4+N..15	"Applicable amount payable, single monetary area (variable measure trade item)"	PRICE	The fourth digit (2) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N..15 is a floating-point value with 2 decimal places in units of currency within the single monetary area	TRUE
3923	"^3923(\d{0,15})$"	N4+N..15	"Applicable amount payable, single monetary area (variable measure trade item)"	PRICE	The fourth digit (3) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N..15 is a floating-point value with 3 decimal places in units of currency within the single monetary area	TRUE
3924	"^3924(\d{0,15})$"	N4+N..15	"Applicable amount payable, single monetary area (variable measure trade item)"	PRICE	The fourth digit (4) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N..15 is a floating-point value with 4 decimal places in units of currency within the single monetary area	TRUE
3925	"^3925(\d{0,15})$"	N4+N..15	"Applicable amount payable, single monetary area (variable measure trade item)"	PRICE	The fourth digit (5) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N..15 is a floating-point value with 5 decimal places in units of currency within the single monetary area	TRUE
3926	"^3926(\d{0,15})$"	N4+N..15	"Applicable amount payable, single monetary area (variable measure trade item)"	PRICE	The fourth digit (6) of this AI indicates the number of decimal places (see GS1 General Specifications for details). i.e. N..15 is a floating-point value with 6 decimal places in units of currency within the single monetary area	TRUE
